,cuenta,c_nombre,nivel,nsumasal
1226,537010500000,Impuesto Inmobiliario              ,5,0.0
1227,537010600000,Impuesto a los Automotores (Patente,5,0.0
1228,537020000000,Tasas Tributarias                  ,4,0.0
1229,537020100000,Tasa Vial Pringles                 ,5,0.0
1230,537020200000,"Tasa Alumbrado,Barr.y Limp.        ",5,0.0
1231,537020300000,Otras tasas                        ,5,0.0
1232,537030000000,Multas Tributarias                 ,4,0.0
1233,537040000000,Intereses Tributarios              ,4,0.0
1234,538000000000,Gastos por Depreciaciones          ,3,0.0
1235,539000000000,Gastos no Computables              ,3,0.0
1236,600000000000,Imp. Gcias Bolivar-Pringles        ,1,0.0
1237,211010254000,ERNESTO Y HORACIO SCHANG SRL       ,6,-79684.05
1238,512010105000,TOROSCRIA-PRINGLES                 ,6,0.0
1239,532120000000,Gastos Varios-Estructura           ,4,0.0
1240,211010255000,R.R AGRONOMIA SRL                  ,6,-4116.47
1241,531020101120,Gtos-Comerc-Cria-Pilla             ,7,0.0
1242,537010700000,Impuesto Transacc.Financ.          ,5,0.0
1243,537010800000,Impuesto Transferencia Comb.       ,5,0.0
